,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"alpha[0, 0]",25,7.1,16,37,1151,470,1.00,0.21,0.26
"alpha[0, 1]",19.4,7.3,9.8,33,818,967,1.00,0.25,0.32
"alpha[0, 2]",17.2,4.3,11,24,1485,698,1.00,0.12,0.13
"alpha[0, 3]",20.9,6,14,30,904,943,1.00,0.23,0.59
"alpha[0, 4]",23,8.5,14,39,1115,826,1.00,0.27,0.35
"alpha[0, 5]",20.1,8.3,11,36,1579,654,1.00,0.25,0.31
"alpha[0, 6]",21,8.1,12,36,1323,679,1.00,0.23,0.31
"alpha[0, 7]",14.8,4.9,8.5,23,1436,811,1.00,0.14,0.17
"alpha[0, 8]",20.8,6.5,14,33,1071,911,1.00,0.22,0.28
"alpha[0, 9]",14.3,4.3,8.5,22,1461,748,1.00,0.12,0.11
"alpha[0, 10]",20.4,5.8,13,31,1000,715,1.00,0.21,0.28
"alpha[0, 11]",21.5,7.5,13,35,1425,818,1.00,0.2,0.23
"alpha[0, 12]",12.2,7.4,3.1,25,922,732,1.00,0.23,0.33
"alpha[0, 13]",22.9,7.6,15,35,1386,697,1.00,0.22,0.33
"alpha[0, 14]",23.7,8,15,38,707,597,1.00,0.3,0.56
"alpha[0, 15]",12.7,4.2,7.2,21,1205,788,1.00,0.13,0.12
"alpha[0, 16]",6,9,0.6,26,47,34,1.04,1.9,2.7
"alpha[0, 17]",19.6,6.8,12,32,1336,833,1.00,0.21,0.27
"alpha[0, 18]",12.4,7.2,4.4,25,696,662,1.00,0.23,0.38
"alpha[0, 19]",14.2,7.8,6.9,28,1151,696,1.00,0.26,0.39
"alpha[0, 20]",24.8,8.8,15,42,2040,604,1.01,0.23,0.27
"alpha[0, 21]",20.7,8.6,12,37,1493,858,1.00,0.25,0.35
"alpha[0, 22]",19.3,8.7,11,36,1151,738,1.00,0.29,0.45
"alpha[0, 23]",21.4,8.5,13,38,1316,747,1.00,0.27,0.34
"alpha[0, 24]",21.2,8.2,13,36,1152,761,1.00,0.26,0.41
"alpha[0, 25]",22.9,6.8,15,35,983,827,1.00,0.23,0.26
"alpha[0, 26]",21.3,7.2,14,34,1322,940,1.00,0.21,0.33
"alpha[0, 27]",29.2,7.9,21,43,1552,923,1.00,0.21,0.28
"alpha[0, 28]",22,9.9,12,40,1076,632,1.00,0.3,0.48
"alpha[0, 29]",22.4,9.2,12,39,1671,794,1.01,0.24,0.26
"alpha[0, 30]",17.2,8.1,9,32,1251,793,1.00,0.23,0.38
"alpha[0, 31]",15,5.8,7.9,25,949,692,1.01,0.19,0.28
"alpha[0, 32]",20.6,9.2,9.4,37,992,679,1.00,0.29,0.3
"alpha[0, 33]",14.3,7.4,6.2,27,938,676,1.00,0.24,0.34
"alpha[0, 34]",30.9,11,18,50,1250,763,1.00,0.31,0.46
"alpha[0, 35]",14.7,7.8,7,29,1685,922,1.00,0.23,0.3
"alpha[0, 36]",24.5,8.9,15,39,1326,700,1.00,0.28,0.48
"alpha[0, 37]",17.5,8.2,9.2,32,1561,831,1.00,0.25,0.37
"alpha[0, 38]",20.9,7.6,13,34,1355,794,1.00,0.23,0.39
"alpha[0, 39]",13.4,4.4,7.3,21,1397,715,1.00,0.12,0.12
"alpha[0, 40]",21.3,8.2,13,37,1151,723,1.00,0.28,0.35
"alpha[0, 41]",10.7,3.7,5.6,17,1821,928,1.00,0.091,0.078
"alpha[0, 42]",13.4,4.1,7.6,20,1522,732,1.01,0.11,0.11
"alpha[0, 43]",8.8,4.4,3.9,16,1018,700,1.00,0.15,0.28
"alpha[0, 44]",13.8,6.4,7.2,24,1050,861,1.00,0.21,0.43
"alpha[0, 45]",28,8.2,19,43,1136,779,1.00,0.27,0.33
"alpha[0, 46]",28.8,8.4,19,45,1332,895,1.00,0.25,0.26
"alpha[0, 47]",25.5,6.5,18,37,1096,625,1.00,0.22,0.26
